i01	V(vhd)
-1.539999999999941e-004	5.995500e-001
-1.529999999999941e-004	5.993171e-001
-1.519999999999941e-004	5.990831e-001
-1.509999999999941e-004	5.988477e-001
-1.499999999999941e-004	5.986111e-001
-1.489999999999941e-004	5.983731e-001
-1.479999999999941e-004	5.981339e-001
-1.469999999999941e-004	5.978932e-001
-1.459999999999941e-004	5.976513e-001
-1.449999999999941e-004	5.974081e-001
-1.439999999999941e-004	5.971634e-001
-1.429999999999941e-004	5.969173e-001
-1.419999999999941e-004	5.966699e-001
-1.409999999999941e-004	5.964209e-001
-1.399999999999941e-004	5.961705e-001
-1.389999999999941e-004	5.959188e-001
-1.379999999999941e-004	5.956655e-001
-1.369999999999941e-004	5.954106e-001
-1.359999999999941e-004	5.951543e-001
-1.349999999999941e-004	5.948964e-001
-1.339999999999941e-004	5.946370e-001
-1.329999999999941e-004	5.943760e-001
-1.319999999999941e-004	5.941134e-001
-1.309999999999941e-004	5.938492e-001
-1.299999999999941e-004	5.935833e-001
-1.289999999999941e-004	5.933157e-001
-1.279999999999941e-004	5.930465e-001
-1.269999999999941e-004	5.927755e-001
-1.259999999999942e-004	5.925028e-001
-1.249999999999942e-004	5.922284e-001
-1.239999999999942e-004	5.919521e-001
-1.229999999999942e-004	5.916740e-001
-1.219999999999942e-004	5.913941e-001
-1.209999999999942e-004	5.911123e-001
-1.199999999999942e-004	5.908287e-001
-1.189999999999942e-004	5.905430e-001
-1.179999999999942e-004	5.902555e-001
-1.169999999999942e-004	5.899660e-001
-1.159999999999942e-004	5.896744e-001
-1.149999999999942e-004	5.893809e-001
-1.139999999999942e-004	5.890852e-001
-1.129999999999942e-004	5.887874e-001
-1.119999999999942e-004	5.884876e-001
-1.109999999999942e-004	5.881855e-001
-1.099999999999942e-004	5.878812e-001
-1.089999999999942e-004	5.875747e-001
-1.079999999999942e-004	5.872659e-001
-1.069999999999942e-004	5.869548e-001
-1.059999999999942e-004	5.866414e-001
-1.049999999999942e-004	5.863255e-001
-1.039999999999942e-004	5.860072e-001
-1.029999999999942e-004	5.856864e-001
-1.019999999999942e-004	5.853631e-001
-1.009999999999942e-004	5.850373e-001
-9.999999999999422e-005	5.847089e-001
-9.899999999999422e-005	5.843777e-001
-9.799999999999422e-005	5.840439e-001
-9.699999999999423e-005	5.837073e-001
-9.599999999999423e-005	5.833680e-001
-9.499999999999423e-005	5.830258e-001
-9.399999999999424e-005	5.826806e-001
-9.299999999999424e-005	5.823326e-001
-9.199999999999424e-005	5.819814e-001
-9.099999999999424e-005	5.816272e-001
-8.999999999999425e-005	5.812699e-001
-8.899999999999425e-005	5.809094e-001
-8.799999999999425e-005	5.805456e-001
-8.699999999999425e-005	5.801784e-001
-8.599999999999426e-005	5.798079e-001
-8.499999999999426e-005	5.794339e-001
-8.399999999999426e-005	5.790563e-001
-8.299999999999427e-005	5.786752e-001
-8.199999999999427e-005	5.782902e-001
-8.099999999999427e-005	5.779015e-001
-7.999999999999427e-005	5.775090e-001
-7.899999999999428e-005	5.771125e-001
-7.799999999999428e-005	5.767120e-001
-7.699999999999428e-005	5.763072e-001
-7.599999999999429e-005	5.758983e-001
-7.499999999999429e-005	5.754850e-001
-7.399999999999429e-005	5.750673e-001
-7.299999999999429e-005	5.746450e-001
-7.199999999999430e-005	5.742180e-001
-7.099999999999430e-005	5.737863e-001
-6.999999999999430e-005	5.733496e-001
-6.899999999999431e-005	5.729079e-001
-6.799999999999431e-005	5.724609e-001
-6.699999999999431e-005	5.720087e-001
-6.599999999999431e-005	5.715510e-001
-6.499999999999432e-005	5.710877e-001
-6.399999999999432e-005	5.706186e-001
-6.299999999999432e-005	5.701435e-001
-6.199999999999432e-005	5.696623e-001
-6.099999999999433e-005	5.691748e-001
-5.999999999999433e-005	5.686807e-001
-5.899999999999433e-005	5.681800e-001
-5.799999999999434e-005	5.676723e-001
-5.699999999999434e-005	5.671574e-001
-5.599999999999434e-005	5.666353e-001
-5.499999999999434e-005	5.661054e-001
-5.399999999999435e-005	5.655676e-001
-5.299999999999435e-005	5.650216e-001
-5.199999999999435e-005	5.644671e-001
-5.099999999999436e-005	5.639039e-001
-4.999999999999436e-005	5.633314e-001
-4.899999999999436e-005	5.627495e-001
-4.799999999999436e-005	5.621577e-001
-4.699999999999437e-005	5.615556e-001
-4.599999999999437e-005	5.609428e-001
-4.499999999999437e-005	5.603188e-001
-4.399999999999438e-005	5.596832e-001
-4.299999999999438e-005	5.590354e-001
-4.199999999999438e-005	5.583748e-001
-4.099999999999438e-005	5.577008e-001
-3.999999999999439e-005	5.570128e-001
-3.899999999999439e-005	5.563101e-001
-3.799999999999439e-005	5.555918e-001
-3.699999999999439e-005	5.548571e-001
-3.599999999999440e-005	5.541051e-001
-3.499999999999440e-005	5.533348e-001
-3.399999999999440e-005	5.525451e-001
-3.299999999999441e-005	5.517349e-001
-3.199999999999441e-005	5.509026e-001
-3.099999999999441e-005	5.500469e-001
-2.999999999999441e-005	5.491661e-001
-2.899999999999441e-005	5.482585e-001
-2.799999999999441e-005	5.473219e-001
-2.699999999999441e-005	5.463539e-001
-2.599999999999441e-005	5.453522e-001
-2.499999999999441e-005	5.443135e-001
-2.399999999999441e-005	5.432345e-001
-2.299999999999441e-005	5.421114e-001
-2.199999999999441e-005	5.409396e-001
-2.099999999999441e-005	5.397137e-001
-1.999999999999440e-005	5.384275e-001
-1.899999999999440e-005	5.370735e-001
-1.799999999999440e-005	5.356428e-001
-1.699999999999440e-005	5.341245e-001
-1.599999999999440e-005	5.325052e-001
-1.499999999999440e-005	5.307680e-001
-1.399999999999440e-005	5.288916e-001
-1.299999999999440e-005	5.268481e-001
-1.199999999999440e-005	5.246007e-001
-1.099999999999440e-005	5.220989e-001
-9.999999999994399e-006	5.192714e-001
-8.999999999994398e-006	5.160137e-001
-7.999999999994397e-006	5.121640e-001
-6.999999999994398e-006	5.074558e-001
-5.999999999994398e-006	5.014120e-001
-4.999999999994398e-006	4.930750e-001
-3.999999999994398e-006	4.798461e-001
-2.999999999994399e-006	4.543921e-001
-1.999999999994399e-006	3.844053e-001
-9.999999999943990e-007	2.138952e-001
5.601005363719061e-018	-1.213728e-012
1.000000000005601e-006	-2.138904e-001
2.000000000005601e-006	-3.844052e-001
3.000000000005601e-006	-4.544123e-001
4.000000000005600e-006	-4.798693e-001
5.000000000005600e-006	-4.930055e-001
6.000000000005600e-006	-5.016930e-001
7.000000000005600e-006	-5.075727e-001
8.000000000005600e-006	-5.121877e-001
9.000000000005601e-006	-5.160223e-001
1.000000000000560e-005	-5.192761e-001
1.100000000000560e-005	-5.221013e-001
1.200000000000560e-005	-5.246020e-001
1.300000000000560e-005	-5.268489e-001
1.400000000000560e-005	-5.288920e-001
1.500000000000560e-005	-5.307683e-001
1.600000000000560e-005	-5.325054e-001
1.700000000000560e-005	-5.341246e-001
1.800000000000560e-005	-5.356429e-001
1.900000000000561e-005	-5.370736e-001
2.000000000000561e-005	-5.384275e-001
2.100000000000561e-005	-5.397137e-001
2.200000000000561e-005	-5.409396e-001
2.300000000000561e-005	-5.421115e-001
2.400000000000561e-005	-5.432345e-001
2.500000000000561e-005	-5.443135e-001
2.600000000000561e-005	-5.453522e-001
2.700000000000561e-005	-5.463539e-001
2.800000000000561e-005	-5.473219e-001
2.900000000000561e-005	-5.482585e-001
3.000000000000561e-005	-5.491661e-001
3.100000000000561e-005	-5.500469e-001
3.200000000000561e-005	-5.509026e-001
3.300000000000561e-005	-5.517349e-001
3.400000000000560e-005	-5.525451e-001
3.500000000000560e-005	-5.533348e-001
3.600000000000560e-005	-5.541051e-001
3.700000000000560e-005	-5.548571e-001
3.800000000000559e-005	-5.555918e-001
3.900000000000559e-005	-5.563101e-001
4.000000000000559e-005	-5.570128e-001
4.100000000000558e-005	-5.577008e-001
4.200000000000558e-005	-5.583748e-001
