i1	V(vo)
-1.199999999999440e-005	7.922808e-001
-1.099999999999440e-005	7.754453e-001
-9.999999999994399e-006	7.573367e-001
-8.999999999994398e-006	7.376067e-001
-7.999999999994397e-006	7.157468e-001
-6.999999999994398e-006	6.909773e-001
-5.999999999994398e-006	6.620232e-001
-4.999999999994398e-006	6.266239e-001
-3.999999999994398e-006	5.797543e-001
-2.999999999994399e-006	5.113615e-001
-1.999999999994399e-006	3.966208e-001
-9.999999999943990e-007	2.141755e-001
5.601005363719061e-018	-1.213970e-012
1.000000000005601e-006	-2.141731e-001
2.000000000005601e-006	-3.965868e-001
3.000000000005601e-006	-5.113546e-001
4.000000000005600e-006	-5.797534e-001
5.000000000005600e-006	-6.264367e-001
6.000000000005600e-006	-6.625433e-001
7.000000000005600e-006	-6.912332e-001
8.000000000005600e-006	-7.158141e-001
9.000000000005601e-006	-7.376339e-001
1.000000000000560e-005	-7.573520e-001
1.100000000000560e-005	-7.754539e-001
1.200000000000560e-005	-7.922858e-001
1.300000000000560e-005	-8.080947e-001
1.400000000000560e-005	-8.230627e-001
1.500000000000560e-005	-8.373280e-001
1.600000000000560e-005	-8.509976e-001
1.700000000000560e-005	-8.641562e-001
1.800000000000560e-005	-8.768716e-001
1.900000000000561e-005	-8.891992e-001
2.000000000000561e-005	-9.011847e-001
2.100000000000561e-005	-9.128661e-001
2.200000000000561e-005	-9.242756e-001
2.300000000000561e-005	-9.354405e-001
2.400000000000561e-005	-9.463843e-001
2.500000000000561e-005	-9.571272e-001
2.600000000000561e-005	-9.676867e-001
2.700000000000561e-005	-9.780783e-001
2.800000000000561e-005	-9.883155e-001
2.900000000000561e-005	-9.984103e-001
3.000000000000561e-005	-1.008373e+000
3.100000000000561e-005	-1.018214e+000
3.200000000000561e-005	-1.027941e+000
3.300000000000561e-005	-1.037562e+000
3.400000000000560e-005	-1.047084e+000
3.500000000000560e-005	-1.056512e+000
3.600000000000560e-005	-1.065854e+000
3.700000000000560e-005	-1.075113e+000
3.800000000000559e-005	-1.084295e+000
3.900000000000559e-005	-1.093405e+000
4.000000000000559e-005	-1.102445e+000
4.100000000000558e-005	-1.111420e+000
4.200000000000558e-005	-1.120332e+000
4.300000000000558e-005	-1.129186e+000
4.400000000000558e-005	-1.137985e+000
4.500000000000557e-005	-1.146729e+000
4.600000000000557e-005	-1.155424e+000
4.700000000000557e-005	-1.164069e+000
4.800000000000557e-005	-1.172669e+000
4.900000000000556e-005	-1.181224e+000
5.000000000000556e-005	-1.189738e+000
5.100000000000556e-005	-1.198210e+000
5.200000000000555e-005	-1.206644e+000
5.300000000000555e-005	-1.215040e+000
5.400000000000555e-005	-1.223401e+000
